epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1625494132739,2021-07-05T10.08.52.739,84.848,0.973,0.021,-0.212
1625494132749,2021-07-05T10.08.52.749,84.858,0.973,0.009,-0.214
1625494132759,2021-07-05T10.08.52.759,84.868,0.973,0.001,-0.217
1625494132770,2021-07-05T10.08.52.770,84.879,0.973,-0.018,-0.225
1625494132780,2021-07-05T10.08.52.780,84.889,0.969,-0.032,-0.226
1625494132790,2021-07-05T10.08.52.790,84.899,0.973,-0.043,-0.226
1625494132799,2021-07-05T10.08.52.799,84.908,0.973,-0.064,-0.222
1625494132809,2021-07-05T10.08.52.809,84.918,0.974,-0.075,-0.220
1625494132820,2021-07-05T10.08.52.820,84.929,0.970,-0.085,-0.218
1625494132830,2021-07-05T10.08.52.830,84.939,0.972,-0.104,-0.209
1625494132840,2021-07-05T10.08.52.840,84.949,0.973,-0.113,-0.202
1625494132850,2021-07-05T10.08.52.850,84.959,0.975,-0.120,-0.196
1625494132861,2021-07-05T10.08.52.861,84.970,0.979,-0.135,-0.183
1625494132871,2021-07-05T10.08.52.871,84.980,0.978,-0.147,-0.172
1625494132881,2021-07-05T10.08.52.881,84.990,0.978,-0.150,-0.164
1625494132891,2021-07-05T10.08.52.891,85.000,0.979,-0.165,-0.146
1625494132902,2021-07-05T10.08.52.902,85.011,0.982,-0.165,-0.140
1625494132910,2021-07-05T10.08.52.910,85.019,0.988,-0.174,-0.125
1625494132921,2021-07-05T10.08.52.921,85.030,0.984,-0.172,-0.104
1625494132931,2021-07-05T10.08.52.931,85.040,0.984,-0.173,-0.094
1625494132941,2021-07-05T10.08.52.941,85.050,0.980,-0.172,-0.079
1625494132951,2021-07-05T10.08.52.951,85.060,0.990,-0.176,-0.065
1625494132962,2021-07-05T10.08.52.962,85.071,0.996,-0.171,-0.051
1625494132972,2021-07-05T10.08.52.972,85.081,0.997,-0.167,-0.031
1625494132982,2021-07-05T10.08.52.982,85.091,0.992,-0.157,-0.020
1625494132992,2021-07-05T10.08.52.992,85.101,0.988,-0.152,-0.007
1625494133003,2021-07-05T10.08.53.003,85.112,0.995,-0.145,0.004
1625494133013,2021-07-05T10.08.53.013,85.122,0.996,-0.133,0.007
1625494133023,2021-07-05T10.08.53.023,85.132,1.004,-0.120,0.020
1625494133032,2021-07-05T10.08.53.032,85.141,0.999,-0.109,0.024
1625494133042,2021-07-05T10.08.53.042,85.151,1.001,-0.098,0.034
1625494133052,2021-07-05T10.08.53.052,85.161,1.000,-0.084,0.042
1625494133063,2021-07-05T10.08.53.063,85.172,1.002,-0.067,0.047
1625494133073,2021-07-05T10.08.53.073,85.182,1.004,-0.057,0.048
1625494133083,2021-07-05T10.08.53.083,85.192,1.007,-0.044,0.052
1625494133093,2021-07-05T10.08.53.093,85.202,1.000,-0.026,0.049
1625494133104,2021-07-05T10.08.53.104,85.213,1.000,-0.011,0.048
1625494133114,2021-07-05T10.08.53.114,85.223,0.998,-0.002,0.045
1625494133124,2021-07-05T10.08.53.124,85.233,1.003,0.017,0.037
1625494133134,2021-07-05T10.08.53.134,85.243,1.003,0.027,0.033
1625494133143,2021-07-05T10.08.53.143,85.252,1.002,0.040,0.023
1625494133154,2021-07-05T10.08.53.154,85.263,0.997,0.048,0.018
1625494133164,2021-07-05T10.08.53.164,85.273,0.995,0.061,0.009
1625494133174,2021-07-05T10.08.53.174,85.283,0.995,0.072,-0.001
1625494133184,2021-07-05T10.08.53.184,85.293,0.995,0.078,-0.012
1625494133195,2021-07-05T10.08.53.195,85.304,0.997,0.085,-0.025
1625494133205,2021-07-05T10.08.53.205,85.314,0.992,0.092,-0.040
1625494133215,2021-07-05T10.08.53.215,85.324,0.993,0.101,-0.052
1625494133225,2021-07-05T10.08.53.225,85.334,0.989,0.101,-0.069
1625494133236,2021-07-05T10.08.53.236,85.345,0.988,0.102,-0.086
1625494133246,2021-07-05T10.08.53.246,85.355,0.982,0.098,-0.101
1625494133255,2021-07-05T10.08.53.255,85.364,0.986,0.099,-0.111
1625494133265,2021-07-05T10.08.53.265,85.374,0.983,0.094,-0.125
1625494133275,2021-07-05T10.08.53.275,85.384,0.978,0.092,-0.140
1625494133285,2021-07-05T10.08.53.285,85.394,0.977,0.079,-0.150
1625494133296,2021-07-05T10.08.53.296,85.405,0.977,0.078,-0.163
1625494133306,2021-07-05T10.08.53.306,85.415,0.980,0.063,-0.181
1625494133316,2021-07-05T10.08.53.316,85.425,0.976,0.050,-0.192
1625494133326,2021-07-05T10.08.53.326,85.435,0.972,0.057,-0.190
1625494133337,2021-07-05T10.08.53.337,85.446,0.969,0.036,-0.203
1625494133347,2021-07-05T10.08.53.347,85.456,0.972,0.010,-0.217
1625494133356,2021-07-05T10.08.53.356,85.465,0.977,0.010,-0.216
1625494133366,2021-07-05T10.08.53.366,85.475,0.975,0.004,-0.221
1625494133376,2021-07-05T10.08.53.376,85.485,0.972,-0.028,-0.226
1625494133386,2021-07-05T10.08.53.386,85.495,0.968,-0.041,-0.224
1625494133397,2021-07-05T10.08.53.397,85.506,0.970,-0.039,-0.224
1625494133407,2021-07-05T10.08.53.407,85.516,0.973,-0.063,-0.227
1625494133417,2021-07-05T10.08.53.417,85.526,0.977,-0.086,-0.219
1625494133427,2021-07-05T10.08.53.427,85.536,0.977,-0.089,-0.213
1625494133438,2021-07-05T10.08.53.438,85.547,0.971,-0.097,-0.208
1625494133448,2021-07-05T10.08.53.448,85.557,0.965,-0.114,-0.196
1625494133458,2021-07-05T10.08.53.458,85.567,0.974,-0.134,-0.189
1625494133467,2021-07-05T10.08.53.467,85.576,0.982,-0.133,-0.185
1625494133477,2021-07-05T10.08.53.477,85.586,0.987,-0.145,-0.171
1625494133488,2021-07-05T10.08.53.488,85.597,0.976,-0.160,-0.155
1625494133498,2021-07-05T10.08.53.498,85.607,0.974,-0.161,-0.146
1625494133508,2021-07-05T10.08.53.508,85.617,0.974,-0.166,-0.136
1625494133518,2021-07-05T10.08.53.518,85.627,0.982,-0.170,-0.115
1625494133529,2021-07-05T10.08.53.529,85.638,0.990,-0.175,-0.101
1625494133539,2021-07-05T10.08.53.539,85.648,0.988,-0.176,-0.097
1625494133549,2021-07-05T10.08.53.549,85.658,0.994,-0.176,-0.076
1625494133559,2021-07-05T10.08.53.559,85.668,0.985,-0.170,-0.050
1625494133570,2021-07-05T10.08.53.570,85.679,0.988,-0.171,-0.049
1625494133578,2021-07-05T10.08.53.578,85.687,0.990,-0.165,-0.034
1625494133589,2021-07-05T10.08.53.589,85.698,0.998,-0.157,-0.015
1625494133599,2021-07-05T10.08.53.599,85.708,0.998,-0.152,-0.007
1625494133609,2021-07-05T10.08.53.609,85.718,0.994,-0.142,0.002
1625494133619,2021-07-05T10.08.53.619,85.728,0.993,-0.125,0.017
1625494133630,2021-07-05T10.08.53.630,85.739,0.998,-0.118,0.027
1625494133640,2021-07-05T10.08.53.640,85.749,1.000,-0.111,0.028
1625494133650,2021-07-05T10.08.53.650,85.759,1.003,-0.092,0.036
1625494133660,2021-07-05T10.08.53.660,85.769,1.005,-0.076,0.045
1625494133671,2021-07-05T10.08.53.671,85.780,1.000,-0.073,0.045
1625494133681,2021-07-05T10.08.53.681,85.790,0.997,-0.053,0.052
1625494133690,2021-07-05T10.08.53.690,85.799,1.002,-0.035,0.052
1625494133700,2021-07-05T10.08.53.700,85.809,1.004,-0.027,0.048
1625494133710,2021-07-05T10.08.53.710,85.819,1.005,-0.011,0.046
1625494133720,2021-07-05T10.08.53.720,85.829,1.003,0.010,0.044
1625494133731,2021-07-05T10.08.53.731,85.840,0.997,0.017,0.037
1625494133741,2021-07-05T10.08.53.741,85.850,0.998,0.031,0.031
1625494133751,2021-07-05T10.08.53.751,85.860,0.995,0.045,0.024
1625494133761,2021-07-05T10.08.53.761,85.870,1.001,0.054,0.017
1625494133772,2021-07-05T10.08.53.772,85.881,0.998,0.061,0.009
1625494133782,2021-07-05T10.08.53.782,85.891,0.996,0.076,-0.005
1625494133792,2021-07-05T10.08.53.792,85.901,0.991,0.080,-0.016
1625494133801,2021-07-05T10.08.53.801,85.910,0.991,0.088,-0.028
1625494133811,2021-07-05T10.08.53.811,85.920,0.991,0.095,-0.047
1625494133822,2021-07-05T10.08.53.822,85.931,0.993,0.097,-0.058
1625494133832,2021-07-05T10.08.53.832,85.941,0.987,0.097,-0.071
1625494133842,2021-07-05T10.08.53.842,85.951,0.985,0.104,-0.089
1625494133852,2021-07-05T10.08.53.852,85.961,0.983,0.100,-0.100
1625494133863,2021-07-05T10.08.53.863,85.972,0.982,0.097,-0.112
1625494133873,2021-07-05T10.08.53.873,85.982,0.983,0.090,-0.130
1625494133883,2021-07-05T10.08.53.883,85.992,0.982,0.088,-0.142
1625494133893,2021-07-05T10.08.53.893,86.002,0.976,0.086,-0.156
1625494133904,2021-07-05T10.08.53.904,86.013,0.974,0.070,-0.173
1625494133912,2021-07-05T10.08.53.912,86.021,0.975,0.063,-0.178
1625494133923,2021-07-05T10.08.53.923,86.032,0.975,0.055,-0.189
1625494133933,2021-07-05T10.08.53.933,86.042,0.974,0.043,-0.196
1625494133943,2021-07-05T10.08.53.943,86.052,0.969,0.031,-0.205
1625494133953,2021-07-05T10.08.53.953,86.062,0.971,0.017,-0.216
1625494133964,2021-07-05T10.08.53.964,86.073,0.975,0.002,-0.218
1625494133974,2021-07-05T10.08.53.974,86.083,0.976,-0.011,-0.221
1625494133984,2021-07-05T10.08.53.984,86.093,0.972,-0.022,-0.224
1625494133994,2021-07-05T10.08.53.994,86.103,0.970,-0.040,-0.226
1625494134005,2021-07-05T10.08.54.005,86.114,0.966,-0.054,-0.226
1625494134013,2021-07-05T10.08.54.013,86.122,0.972,-0.067,-0.224
1625494134024,2021-07-05T10.08.54.024,86.133,0.973,-0.080,-0.219
1625494134034,2021-07-05T10.08.54.034,86.143,0.974,-0.095,-0.215
1625494134044,2021-07-05T10.08.54.044,86.153,0.978,-0.110,-0.206
1625494134054,2021-07-05T10.08.54.054,86.163,0.974,-0.118,-0.198
1625494134065,2021-07-05T10.08.54.065,86.174,0.973,-0.125,-0.193
1625494134075,2021-07-05T10.08.54.075,86.184,0.978,-0.144,-0.176
1625494134085,2021-07-05T10.08.54.085,86.194,0.977,-0.148,-0.163
1625494134095,2021-07-05T10.08.54.095,86.204,0.980,-0.155,-0.157
1625494134106,2021-07-05T10.08.54.106,86.215,0.981,-0.164,-0.143
1625494134116,2021-07-05T10.08.54.116,86.225,0.982,-0.170,-0.129
1625494134125,2021-07-05T10.08.54.125,86.234,0.981,-0.172,-0.114
1625494134135,2021-07-05T10.08.54.135,86.244,0.985,-0.174,-0.103
1625494134145,2021-07-05T10.08.54.145,86.254,0.990,-0.175,-0.085
1625494134155,2021-07-05T10.08.54.155,86.264,0.986,-0.174,-0.071
1625494134166,2021-07-05T10.08.54.166,86.275,0.990,-0.174,-0.054
1625494134176,2021-07-05T10.08.54.176,86.285,0.990,-0.164,-0.039
1625494134186,2021-07-05T10.08.54.186,86.295,0.995,-0.161,-0.027
1625494134197,2021-07-05T10.08.54.197,86.306,0.996,-0.154,-0.015
1625494134207,2021-07-05T10.08.54.207,86.316,0.997,-0.150,0.001
1625494134217,2021-07-05T10.08.54.217,86.326,0.996,-0.138,0.006
1625494134227,2021-07-05T10.08.54.227,86.336,1.002,-0.125,0.017
1625494134238,2021-07-05T10.08.54.238,86.347,1.001,-0.118,0.026
1625494134246,2021-07-05T10.08.54.246,86.355,1.005,-0.107,0.034
1625494134257,2021-07-05T10.08.54.257,86.366,0.998,-0.089,0.042
1625494134267,2021-07-05T10.08.54.267,86.376,1.003,-0.082,0.044
1625494134277,2021-07-05T10.08.54.277,86.386,1.000,-0.066,0.044
1625494134287,2021-07-05T10.08.54.287,86.396,1.007,-0.039,0.052
1625494134298,2021-07-05T10.08.54.298,86.407,1.003,-0.036,0.053
1625494134308,2021-07-05T10.08.54.308,86.417,1.002,-0.031,0.052
1625494134318,2021-07-05T10.08.54.318,86.427,1.001,-0.000,0.046
1625494134328,2021-07-05T10.08.54.328,86.437,0.998,0.017,0.042
1625494134339,2021-07-05T10.08.54.339,86.448,1.004,0.011,0.039
1625494134349,2021-07-05T10.08.54.349,86.458,0.999,0.035,0.031
1625494134358,2021-07-05T10.08.54.358,86.467,1.001,0.053,0.018
1625494134368,2021-07-05T10.08.54.368,86.477,0.998,0.052,0.014
1625494134378,2021-07-05T10.08.54.378,86.487,0.997,0.063,0.010
1625494134388,2021-07-05T10.08.54.388,86.497,0.997,0.083,-0.006
1625494134399,2021-07-05T10.08.54.399,86.508,0.994,0.085,-0.022
1625494134409,2021-07-05T10.08.54.409,86.518,0.992,0.084,-0.031
1625494134419,2021-07-05T10.08.54.419,86.528,0.988,0.098,-0.043
1625494134429,2021-07-05T10.08.54.429,86.538,0.990,0.099,-0.066
1625494134440,2021-07-05T10.08.54.440,86.549,0.990,0.099,-0.079
1625494134450,2021-07-05T10.08.54.450,86.559,0.983,0.103,-0.093
1625494134460,2021-07-05T10.08.54.460,86.569,0.982,0.100,-0.111
1625494134469,2021-07-05T10.08.54.469,86.578,0.985,0.094,-0.125
1625494134479,2021-07-05T10.08.54.479,86.588,0.984,0.096,-0.131
1625494134489,2021-07-05T10.08.54.489,86.598,0.982,0.090,-0.148
1625494134500,2021-07-05T10.08.54.500,86.609,0.975,0.074,-0.165
1625494134510,2021-07-05T10.08.54.510,86.619,0.974,0.071,-0.171
1625494134520,2021-07-05T10.08.54.520,86.629,0.973,0.062,-0.185
1625494134530,2021-07-05T10.08.54.530,86.639,0.978,0.046,-0.198
1625494134541,2021-07-05T10.08.54.541,86.650,0.973,0.034,-0.202
1625494134551,2021-07-05T10.08.54.551,86.660,0.974,0.029,-0.210
1625494134561,2021-07-05T10.08.54.561,86.670,0.970,0.013,-0.219
1625494134570,2021-07-05T10.08.54.570,86.679,0.971,-0.010,-0.220
1625494134580,2021-07-05T10.08.54.580,86.689,0.974,-0.016,-0.224
1625494134591,2021-07-05T10.08.54.591,86.700,0.969,-0.029,-0.225
1625494134601,2021-07-05T10.08.54.601,86.710,0.974,-0.053,-0.227
1625494134611,2021-07-05T10.08.54.611,86.720,0.968,-0.063,-0.230
1625494134621,2021-07-05T10.08.54.621,86.730,0.966,-0.072,-0.221
1625494134632,2021-07-05T10.08.54.632,86.741,0.974,-0.094,-0.218
1625494134642,2021-07-05T10.08.54.642,86.751,0.975,-0.105,-0.215
1625494134652,2021-07-05T10.08.54.652,86.761,0.974,-0.114,-0.201
1625494134662,2021-07-05T10.08.54.662,86.771,0.973,-0.126,-0.194
1625494134673,2021-07-05T10.08.54.673,86.782,0.978,-0.139,-0.184
1625494134681,2021-07-05T10.08.54.681,86.790,0.976,-0.143,-0.177
1625494134692,2021-07-05T10.08.54.692,86.801,0.979,-0.158,-0.160
1625494134702,2021-07-05T10.08.54.702,86.811,0.981,-0.167,-0.148
1625494134712,2021-07-05T10.08.54.712,86.821,0.978,-0.167,-0.137
1625494134722,2021-07-05T10.08.54.722,86.831,0.983,-0.173,-0.120
1625494134733,2021-07-05T10.08.54.733,86.842,0.983,-0.174,-0.110
1625494134743,2021-07-05T10.08.54.743,86.852,0.987,-0.179,-0.095
1625494134753,2021-07-05T10.08.54.753,86.862,0.986,-0.181,-0.072
1625494134763,2021-07-05T10.08.54.763,86.872,0.988,-0.174,-0.057
1625494134774,2021-07-05T10.08.54.774,86.883,0.988,-0.171,-0.051
1625494134784,2021-07-05T10.08.54.784,86.893,0.992,-0.170,-0.030
1625494134793,2021-07-05T10.08.54.793,86.902,0.993,-0.159,-0.021
1625494134803,2021-07-05T10.08.54.803,86.912,0.993,-0.154,-0.005
1625494134813,2021-07-05T10.08.54.813,86.922,0.997,-0.144,0.005
1625494134823,2021-07-05T10.08.54.823,86.932,0.998,-0.134,0.017
1625494134834,2021-07-05T10.08.54.834,86.943,0.999,-0.121,0.024
1625494134844,2021-07-05T10.08.54.844,86.953,1.000,-0.110,0.034
1625494134854,2021-07-05T10.08.54.854,86.963,0.999,-0.098,0.039
1625494134864,2021-07-05T10.08.54.864,86.973,1.002,-0.084,0.043
1625494134875,2021-07-05T10.08.54.875,86.984,1.001,-0.068,0.050
1625494134885,2021-07-05T10.08.54.885,86.994,1.004,-0.053,0.053
1625494134895,2021-07-05T10.08.54.895,87.004,1.006,-0.043,0.052
1625494134904,2021-07-05T10.08.54.904,87.013,1.002,-0.025,0.051
1625494134914,2021-07-05T10.08.54.914,87.023,1.001,-0.010,0.050
1625494134925,2021-07-05T10.08.54.925,87.034,1.000,0.008,0.047
1625494134935,2021-07-05T10.08.54.935,87.044,1.001,0.020,0.042
1625494134945,2021-07-05T10.08.54.945,87.054,0.999,0.031,0.031
1625494134955,2021-07-05T10.08.54.955,87.064,1.000,0.045,0.028
1625494134966,2021-07-05T10.08.54.966,87.075,0.997,0.056,0.019
1625494134976,2021-07-05T10.08.54.976,87.085,0.999,0.070,0.007
1625494134986,2021-07-05T10.08.54.986,87.095,0.994,0.076,0.000
1625494134996,2021-07-05T10.08.54.996,87.105,0.996,0.082,-0.013
1625494135007,2021-07-05T10.08.55.007,87.116,0.992,0.092,-0.027
1625494135015,2021-07-05T10.08.55.015,87.124,0.990,0.098,-0.047
1625494135026,2021-07-05T10.08.55.026,87.135,0.991,0.101,-0.061
1625494135036,2021-07-05T10.08.55.036,87.145,0.985,0.102,-0.071
1625494135046,2021-07-05T10.08.55.046,87.155,0.985,0.104,-0.087
1625494135056,2021-07-05T10.08.55.056,87.165,0.982,0.101,-0.105
1625494135067,2021-07-05T10.08.55.067,87.176,0.983,0.099,-0.118
1625494135077,2021-07-05T10.08.55.077,87.186,0.980,0.093,-0.133
1625494135087,2021-07-05T10.08.55.087,87.196,0.982,0.091,-0.145
1625494135097,2021-07-05T10.08.55.097,87.206,0.979,0.082,-0.162
1625494135108,2021-07-05T10.08.55.108,87.217,0.976,0.076,-0.170
1625494135118,2021-07-05T10.08.55.118,87.227,0.972,0.062,-0.183
1625494135127,2021-07-05T10.08.55.127,87.236,0.970,0.050,-0.195
1625494135137,2021-07-05T10.08.55.137,87.246,0.972,0.039,-0.200
1625494135147,2021-07-05T10.08.55.147,87.256,0.978,0.025,-0.213
1625494135157,2021-07-05T10.08.55.157,87.266,0.974,0.012,-0.221
1625494135168,2021-07-05T10.08.55.168,87.277,0.969,-0.000,-0.219
1625494135178,2021-07-05T10.08.55.178,87.287,0.966,-0.013,-0.226
1625494135188,2021-07-05T10.08.55.188,87.297,0.972,-0.032,-0.230
1625494135198,2021-07-05T10.08.55.198,87.307,0.974,-0.050,-0.225
1625494135209,2021-07-05T10.08.55.209,87.318,0.972,-0.059,-0.221
1625494135219,2021-07-05T10.08.55.219,87.328,0.973,-0.072,-0.224
1625494135229,2021-07-05T10.08.55.229,87.338,0.968,-0.093,-0.218
1625494135238,2021-07-05T10.08.55.238,87.347,0.970,-0.098,-0.219
1625494135248,2021-07-05T10.08.55.248,87.357,0.972,-0.115,-0.210
1625494135259,2021-07-05T10.08.55.259,87.368,0.979,-0.133,-0.190
1625494135269,2021-07-05T10.08.55.269,87.378,0.977,-0.135,-0.186
1625494135279,2021-07-05T10.08.55.279,87.388,0.973,-0.140,-0.183
1625494135289,2021-07-05T10.08.55.289,87.398,0.976,-0.163,-0.161
1625494135300,2021-07-05T10.08.55.300,87.409,0.979,-0.168,-0.138
1625494135310,2021-07-05T10.08.55.310,87.419,0.987,-0.165,-0.143
1625494135320,2021-07-05T10.08.55.320,87.429,0.984,-0.177,-0.130
1625494135330,2021-07-05T10.08.55.330,87.439,0.982,-0.181,-0.101
1625494135341,2021-07-05T10.08.55.341,87.450,0.985,-0.176,-0.095
1625494135349,2021-07-05T10.08.55.349,87.458,0.985,-0.179,-0.083
1625494135360,2021-07-05T10.08.55.360,87.469,0.992,-0.179,-0.062
1625494135370,2021-07-05T10.08.55.370,87.479,0.994,-0.169,-0.044
1625494135380,2021-07-05T10.08.55.380,87.489,0.992,-0.172,-0.037
1625494135390,2021-07-05T10.08.55.390,87.499,0.989,-0.161,-0.021
1625494135401,2021-07-05T10.08.55.401,87.510,0.992,-0.151,-0.001
1625494135411,2021-07-05T10.08.55.411,87.520,0.999,-0.151,0.005
1625494135421,2021-07-05T10.08.55.421,87.530,1.001,-0.135,0.015
1625494135431,2021-07-05T10.08.55.431,87.540,1.000,-0.119,0.026
1625494135442,2021-07-05T10.08.55.442,87.551,0.996,-0.112,0.035
1625494135452,2021-07-05T10.08.55.452,87.561,1.001,-0.101,0.034
1625494135461,2021-07-05T10.08.55.461,87.570,1.001,-0.085,0.044
1625494135471,2021-07-05T10.08.55.471,87.580,1.006,-0.064,0.050
1625494135481,2021-07-05T10.08.55.481,87.590,1.006,-0.057,0.050
1625494135491,2021-07-05T10.08.55.491,87.600,1.000,-0.042,0.053
1625494135502,2021-07-05T10.08.55.502,87.611,1.000,-0.021,0.054
1625494135512,2021-07-05T10.08.55.512,87.621,1.002,-0.009,0.051
1625494135522,2021-07-05T10.08.55.522,87.631,1.004,-0.000,0.047
1625494135532,2021-07-05T10.08.55.532,87.641,1.004,0.020,0.038
1625494135543,2021-07-05T10.08.55.543,87.652,1.000,0.036,0.032
1625494135553,2021-07-05T10.08.55.553,87.662,0.999,0.042,0.031
1625494135563,2021-07-05T10.08.55.563,87.672,0.997,0.056,0.017
1625494135572,2021-07-05T10.08.55.572,87.681,0.999,0.069,0.006
1625494135582,2021-07-05T10.08.55.582,87.691,0.994,0.071,0.001
1625494135592,2021-07-05T10.08.55.592,87.701,0.997,0.082,-0.016
1625494135603,2021-07-05T10.08.55.603,87.712,0.992,0.096,-0.033
1625494135613,2021-07-05T10.08.55.613,87.722,0.989,0.094,-0.043
1625494135623,2021-07-05T10.08.55.623,87.732,0.988,0.099,-0.053
1625494135634,2021-07-05T10.08.55.634,87.743,0.984,0.106,-0.079
1625494135644,2021-07-05T10.08.55.644,87.753,0.989,0.101,-0.087
1625494135654,2021-07-05T10.08.55.654,87.763,0.987,0.100,-0.102
1625494135664,2021-07-05T10.08.55.664,87.773,0.987,0.101,-0.121
1625494135675,2021-07-05T10.08.55.675,87.784,0.976,0.095,-0.135
1625494135683,2021-07-05T10.08.55.683,87.792,0.975,0.090,-0.141
1625494135694,2021-07-05T10.08.55.694,87.803,0.978,0.077,-0.161
1625494135704,2021-07-05T10.08.55.704,87.813,0.977,0.074,-0.171
1625494135714,2021-07-05T10.08.55.714,87.823,0.978,0.062,-0.181
1625494135724,2021-07-05T10.08.55.724,87.833,0.973,0.049,-0.193
1625494135735,2021-07-05T10.08.55.735,87.844,0.973,0.042,-0.205
1625494135745,2021-07-05T10.08.55.745,87.854,0.971,0.026,-0.210
1625494135755,2021-07-05T10.08.55.755,87.864,0.975,0.016,-0.216
1625494135765,2021-07-05T10.08.55.765,87.874,0.975,0.001,-0.224
1625494135776,2021-07-05T10.08.55.776,87.885,0.970,-0.011,-0.228
1625494135786,2021-07-05T10.08.55.786,87.895,0.973,-0.029,-0.225
1625494135795,2021-07-05T10.08.55.795,87.904,0.971,-0.044,-0.232
1625494135805,2021-07-05T10.08.55.805,87.914,0.974,-0.060,-0.227
1625494135815,2021-07-05T10.08.55.815,87.924,0.973,-0.073,-0.221
1625494135825,2021-07-05T10.08.55.825,87.934,0.974,-0.088,-0.219
1625494135836,2021-07-05T10.08.55.836,87.945,0.974,-0.099,-0.215
1625494135846,2021-07-05T10.08.55.846,87.955,0.970,-0.117,-0.204
1625494135856,2021-07-05T10.08.55.856,87.965,0.976,-0.125,-0.197
1625494135866,2021-07-05T10.08.55.866,87.975,0.977,-0.138,-0.185
1625494135877,2021-07-05T10.08.55.877,87.986,0.975,-0.146,-0.173
1625494135887,2021-07-05T10.08.55.887,87.996,0.975,-0.157,-0.163
1625494135897,2021-07-05T10.08.55.897,88.006,0.980,-0.164,-0.155
1625494135906,2021-07-05T10.08.55.906,88.015,0.985,-0.172,-0.140
1625494135916,2021-07-05T10.08.55.916,88.025,0.983,-0.173,-0.119
1625494135926,2021-07-05T10.08.55.926,88.035,0.981,-0.176,-0.113
1625494135938,2021-07-05T10.08.55.938,88.047,0.982,-0.179,-0.095
1625494135947,2021-07-05T10.08.55.947,88.056,0.986,-0.176,-0.076
1625494135957,2021-07-05T10.08.55.957,88.066,0.992,-0.179,-0.063
1625494135967,2021-07-05T10.08.55.967,88.076,0.991,-0.172,-0.051
1625494135978,2021-07-05T10.08.55.978,88.087,0.995,-0.168,-0.030
1625494135988,2021-07-05T10.08.55.988,88.097,0.992,-0.160,-0.016
1625494135998,2021-07-05T10.08.55.998,88.107,0.993,-0.156,-0.008
1625494136009,2021-07-05T10.08.56.009,88.118,0.995,-0.143,0.005
1625494136019,2021-07-05T10.08.56.019,88.128,1.000,-0.133,0.016
1625494136028,2021-07-05T10.08.56.028,88.137,1.001,-0.126,0.021
1625494136038,2021-07-05T10.08.56.038,88.147,0.998,-0.111,0.034
1625494136048,2021-07-05T10.08.56.048,88.157,0.998,-0.098,0.038
1625494136058,2021-07-05T10.08.56.058,88.167,0.999,-0.082,0.044
1625494136069,2021-07-05T10.08.56.069,88.178,1.007,-0.077,0.048
1625494136079,2021-07-05T10.08.56.079,88.188,1.005,-0.055,0.049
1625494136089,2021-07-05T10.08.56.089,88.198,1.002,-0.038,0.054
1625494136099,2021-07-05T10.08.56.099,88.208,0.998,-0.026,0.052
1625494136110,2021-07-05T10.08.56.110,88.219,0.995,-0.013,0.050
1625494136120,2021-07-05T10.08.56.120,88.229,1.000,0.005,0.043
1625494136130,2021-07-05T10.08.56.130,88.239,1.005,0.017,0.041
1625494136139,2021-07-05T10.08.56.139,88.248,1.003,0.028,0.032
1625494136149,2021-07-05T10.08.56.149,88.258,1.001,0.042,0.025
1625494136159,2021-07-05T10.08.56.159,88.268,1.000,0.054,0.020
1625494136170,2021-07-05T10.08.56.170,88.279,0.995,0.066,0.009
1625494136180,2021-07-05T10.08.56.180,88.289,0.993,0.073,-0.000
1625494136190,2021-07-05T10.08.56.190,88.299,0.996,0.083,-0.018
1625494136200,2021-07-05T10.08.56.200,88.309,0.997,0.089,-0.028
1625494136211,2021-07-05T10.08.56.211,88.320,0.994,0.094,-0.038
1625494136221,2021-07-05T10.08.56.221,88.330,0.986,0.101,-0.062
1625494136231,2021-07-05T10.08.56.231,88.340,0.986,0.101,-0.081
1625494136241,2021-07-05T10.08.56.241,88.350,0.989,0.103,-0.077
1625494136250,2021-07-05T10.08.56.250,88.359,0.986,0.104,-0.096
1625494136260,2021-07-05T10.08.56.260,88.369,0.983,0.096,-0.123
1625494136271,2021-07-05T10.08.56.271,88.380,0.980,0.092,-0.129
1625494136281,2021-07-05T10.08.56.281,88.390,0.980,0.094,-0.134
1625494136291,2021-07-05T10.08.56.291,88.400,0.977,0.080,-0.164
1625494136301,2021-07-05T10.08.56.301,88.410,0.977,0.068,-0.173
1625494136312,2021-07-05T10.08.56.312,88.421,0.979,0.066,-0.179
1625494136322,2021-07-05T10.08.56.322,88.431,0.979,0.056,-0.196
1625494136332,2021-07-05T10.08.56.332,88.441,0.976,0.038,-0.203
1625494136342,2021-07-05T10.08.56.342,88.451,0.970,0.031,-0.207
1625494136353,2021-07-05T10.08.56.353,88.462,0.970,0.020,-0.217
1625494136362,2021-07-05T10.08.56.362,88.471,0.972,0.001,-0.219
1625494136372,2021-07-05T10.08.56.372,88.481,0.975,-0.015,-0.224
1625494136382,2021-07-05T10.08.56.382,88.491,0.972,-0.025,-0.230
1625494136392,2021-07-05T10.08.56.392,88.501,0.970,-0.041,-0.230
1625494136403,2021-07-05T10.08.56.403,88.512,0.968,-0.062,-0.225
1625494136413,2021-07-05T10.08.56.413,88.522,0.973,-0.072,-0.225
